type,name,hill_group,grid_ref,height
 MUNRO      , Mullach Clach a' Bhlair                                     , North Cairngorms                                , NN883927 ,3343
 MUNRO      , Mullach Coire Mhic Fhearchair                               , Dundonnell and Fisherfield                      , NH052735 ,3339
 MUNRO      , Mullach Fraoch-choire                                       , Glen Shiel                                      , NH095171 ,3615
 MUNRO      , Mullach na Dheiragain                                       , Glen Affric and Strathfarrar                    , NH080259 ,3221
 MUNRO      , Mullach nan Coirean                                         , Mamores                                         , NN122662 ,3080
 MUNRO      , Na Gruagaichean                                             , Mamores                                         , NN203652 ,3464
 MUNRO      , Ruadh Stac Mor                                              , Dundonnell and Fisherfield                      , NH018756 ,3011
 MUNRO      , Ruadh-stac Mor (Beinn Eighe)                                , Achnashellach and Torridon                      , NG951611 ,3313
 MUNRO      , Sail Chaorainn                                              , Glen Shiel                                      , NH133154 ,3287
 MUNRO      , Saileag                                                     , Glen Shiel                                      , NH017148 ,3136
 MUNRO      , Schiehallion                                                , Rannoch and Glen Lyon                           , NN713547 ,3553
 MUNRO      , Seana Bhraigh                                               , Fannaichs and Ullapool                          , NH281878 ,3038
 MUNRO      , Sgairneach Mhor                                             , Drumochter                                      , NN598731 ,3251
 MUNRO      , Sgiath Chuil                                                , Mamlorn                                         , NN462317 ,3021
 MUNRO      , Sgor an Lochain Uaine                                       , South Cairngorms                                , NN954976 ,4127
 MUNRO      , Sgor Gaibhre                                                , Loch Treig and Loch Ossian                      , NN444674 ,3133
 MUNRO      , Sgor Gaoith                                                 , North Cairngorms                                , NN902989 ,3667
 MUNRO      , Sgor na h-Ulaidh                                            , Glencoe                                         , NN111518 ,3261
 MUNRO      , Sgorr Dhearg (Beinn a' Bheithir)                            , Glencoe                                         , NN056558 ,3359
 MUNRO      , Sgorr Dhonuill (Beinn a' Bheithir)                          , Glencoe                                         , NN040555 ,3284
 MUNRO      , Sgorr nam Fiannaidh                                         , Glencoe                                         , NN140583 ,3172
 MUNRO      , Sgorr Ruadh                                                 , Achnashellach and Torridon                      , NG959505 ,3156
 MUNRO      , Sgurr a' Bhealaich Dheirg                                   , Glen Shiel                                      , NH035143 ,3398
 MUNRO      , Sgurr a' Chaorachain                                        , Achnashellach and Torridon                      , NH087447 ,3454
 MUNRO      , Sgurr a' Choire Ghlais                                      , Glen Affric and Strathfarrar                    , NH259430 ,3553
 MUNRO      , Sgurr a' Ghreadaidh                                         , The Islands                                     , NG445232 ,3192
 MUNRO      , Sgurr a' Mhadaidh                                           , The Islands                                     , NG446235 ,3011
 MUNRO      , Sgurr a' Mhaim                                              , Mamores                                         , NN164667 ,3605
 MUNRO      , Sgurr a' Mhaoraich                                          , Knoydart and Loch Quoich                        , NG983065 ,3369
 MUNRO      , Sgurr Alasdair                                              , The Islands                                     , NG450207 ,3254
